map_key,x,y,elevation_m,terrain_key,road_class,road_links,river_class,river_links,settlement_level,has_bridge,source_status,notes
point_alpha_corridor,0,0,355,woods,0,0,0,0,0,0,draft,
point_alpha_corridor,1,0,306,woods,0,0,1,10,0,0,draft,
point_alpha_corridor,2,0,342,woods,0,0,1,20,0,0,draft,
point_alpha_corridor,3,0,349,clear,0,0,1,32,0,0,draft,
point_alpha_corridor,4,0,358,clear,1,12,0,0,0,0,draft,
point_alpha_corridor,5,0,366,clear,1,32,0,0,0,0,draft,
point_alpha_corridor,6,0,351,clear,0,0,0,0,0,0,elevation_only,
point_alpha_corridor,7,0,339,clear,0,0,0,0,0,0,elevation_only,
point_alpha_corridor,8,0,331,clear,1,12,0,0,0,0,draft,
point_alpha_corridor,9,0,325,clear,1,34,0,0,0,0,draft,
point_alpha_corridor,10,0,324,urban,1,20,0,0,3,0,draft,
point_alpha_corridor,11,0,315,urban,1,40,2,8,3,0,draft,
point_alpha_corridor,12,0,331,clear,1,12,0,0,0,0,draft,
point_alpha_corridor,13,0,335,clear,1,34,0,0,0,1,draft,
point_alpha_corridor,14,0,339,clear,1,24,0,0,0,1,draft,
point_alpha_corridor,15,0,346,clear,0,0,0,0,0,0,elevation_only,
point_alpha_corridor,16,0,356,clear,1,4,0,0,0,0,draft,
point_alpha_corridor,17,0,363,clear,1,42,0,0,0,1,draft,
point_alpha_corridor,18,0,385,clear,1,16,0,0,0,0,draft,
point_alpha_corridor,19,0,376,woods,0,0,0,0,0,0,draft,
point_alpha_corridor,20,0,336,clear,1,4,0,0,0,0,draft,
point_alpha_corridor,21,0,331,clear,1,40,0,0,0,0,draft,
point_alpha_corridor,22,0,339,clear,0,0,0,0,0,0,elevation_only,
point_alpha_corridor,23,0,349,clear,1,10,0,0,0,0,draft,
point_alpha_corridor,24,0,342,clear,1,24,0,0,0,0,draft,
point_alpha_corridor,25,0,331,clear,1,10,1,10,0,0,draft,
point_alpha_corridor,26,0,288,woods,1,20,1,20,0,0,draft,
point_alpha_corridor,27,0,273,woods,1,34,1,34,0,0,draft,
point_alpha_corridor,28,0,270,urban,1,20,1,20,2,0,draft,
point_alpha_corridor,29,0,260,urban,1,34,1,32,3,0,draft,
point_alpha_corridor,30,0,246,urban,1,24,3,8,3,1,draft,
point_alpha_corridor,31,0,277,urban,0,0,0,0,1,0,draft,
point_alpha_corridor,32,0,303,clear,0,0,0,0,0,0,elevation_only,
point_alpha_corridor,33,0,316,clear,0,0,0,0,0,0,elevation_only,
point_alpha_corridor,34,0,274,clear,2,8,1,8,0,0,draft,
point_alpha_corridor,35,0,270,clear,0,0,1,2,0,0,draft,
point_alpha_corridor,36,0,282,woods,1,4,1,20,0,0,draft,
point_alpha_corridor,37,0,277,woods,1,34,1,34,0,0,draft,
point_alpha_corridor,38,0,289,woods,1,28,1,24,0,0,draft,
